17:47:40.165: Position 1: YW36
17:47:40.165: Position 2: WN70
17:47:40.165: Position 3: EB00
17:47:40.168: Position 4: BA07
17:47:40.168: Position 5: RG93
17:47:40.168: Position 6: LO39
17:47:40.168: Position 7: YP10
17:47:40.168: Position 8: VS58
17:47:51.426: First command velocity received.
17:47:51.432: Message received: team6,robot,1,plate
17:47:51.432: Awarded: 0 pts
17:47:51.477: Message received: team6,robot,1,plate
17:47:51.477: Awarded: 0 pts
17:47:51.539: Message received: team6,robot,1,plate
17:47:51.540: Awarded: 0 pts
17:47:51.605: Message received: team6,robot,1,plate
17:47:51.606: Awarded: 0 pts
17:47:51.671: Message received: team6,robot,1,plate
17:47:51.672: Awarded: 0 pts
17:47:51.738: Message received: team6,robot,1,plate
17:47:51.739: Awarded: 0 pts
17:47:51.811: Message received: team6,robot,1,plate
17:47:51.812: Awarded: 0 pts
17:47:51.873: Message received: team6,robot,1,plate
17:47:51.875: Awarded: 0 pts
17:47:51.943: Message received: team6,robot,1,plate
17:47:51.944: Awarded: 0 pts
17:47:52.011: Message received: team6,robot,1,plate
17:47:52.011: Awarded: 0 pts
17:47:52.078: Message received: team6,robot,1,plate
17:47:52.078: Awarded: 0 pts
17:47:52.145: Message received: team6,robot,1,plate
17:47:52.146: Awarded: 0 pts
17:47:52.216: Message received: team6,robot,1,plate
17:47:52.216: Awarded: 0 pts
17:47:52.282: Message received: team6,robot,1,plate
17:47:52.283: Awarded: 0 pts
17:47:52.349: Message received: team6,robot,1,plate
17:47:52.349: Awarded: 0 pts
17:47:52.418: Message received: team6,robot,1,plate
17:47:52.418: Awarded: 0 pts
17:47:52.486: Message received: team6,robot,1,plate
17:47:52.486: Awarded: 0 pts
17:47:52.550: Message received: team6,robot,1,plate
17:47:52.551: Awarded: 0 pts
17:47:52.620: Message received: team6,robot,1,plate
17:47:52.620: Awarded: 0 pts
17:47:52.686: Message received: team6,robot,1,plate
17:47:52.687: Awarded: 0 pts
17:47:52.754: Message received: team6,robot,1,plate
17:47:52.755: Awarded: 0 pts
17:47:52.827: Message received: team6,robot,1,plate
17:47:52.827: Awarded: 0 pts
17:47:52.892: Message received: team6,robot,1,plate
17:47:52.892: Awarded: 0 pts
17:47:52.955: Message received: team6,robot,1,plate
17:47:52.956: Awarded: 0 pts
17:47:53.023: Message received: team6,robot,1,plate
17:47:53.024: Awarded: 0 pts
17:47:53.099: Message received: team6,robot,1,plate
17:47:53.099: Awarded: 0 pts
17:47:53.169: Message received: team6,robot,1,plate
17:47:53.169: Awarded: 0 pts
17:47:53.236: Message received: team6,robot,1,plate
17:47:53.237: Awarded: 0 pts
17:47:53.296: Message received: team6,robot,1,plate
17:47:53.296: Awarded: 0 pts
17:47:53.365: Message received: team6,robot,1,plate
17:47:53.365: Awarded: 0 pts
17:47:53.432: Message received: team6,robot,1,plate
17:47:53.432: Awarded: 0 pts
17:47:53.498: Message received: team6,robot,1,plate
17:47:53.499: Awarded: 0 pts
17:47:53.569: Message received: team6,robot,1,plate
17:47:53.570: Awarded: 0 pts
17:47:53.634: Message received: team6,robot,1,plate
17:47:53.635: Awarded: 0 pts
17:47:53.706: Message received: team6,robot,1,plate
17:47:53.707: Awarded: 0 pts
17:47:53.774: Message received: team6,robot,1,plate
17:47:53.775: Awarded: 0 pts
17:47:53.837: Message received: team6,robot,1,plate
17:47:53.838: Awarded: 0 pts
17:47:53.906: Message received: team6,robot,1,plate
17:47:53.907: Awarded: 0 pts
17:47:53.977: Message received: team6,robot,1,plate
17:47:53.978: Awarded: 0 pts
17:47:54.042: Message received: team6,robot,1,plate
17:47:54.042: Awarded: 0 pts
17:47:54.108: Message received: team6,robot,1,plate
17:47:54.108: Awarded: 0 pts
17:47:54.173: Message received: team6,robot,1,plate
17:47:54.174: Awarded: 0 pts
17:47:54.244: Message received: team6,robot,1,plate
17:47:54.245: Awarded: 0 pts
17:47:54.315: Message received: team6,robot,1,plate
17:47:54.315: Awarded: 0 pts
17:47:54.388: Message received: team6,robot,1,plate
17:47:54.389: Awarded: 0 pts
17:47:54.455: Message received: team6,robot,1,plate
17:47:54.455: Awarded: 0 pts
17:47:54.511: Message received: team6,robot,1,plate
17:47:54.512: Awarded: 0 pts
17:47:54.581: Message received: team6,robot,1,plate
17:47:54.582: Awarded: 0 pts
17:47:54.649: Message received: team6,robot,1,plate
17:47:54.649: Awarded: 0 pts
17:47:54.716: Message received: team6,robot,1,plate
17:47:54.716: Awarded: 0 pts
17:47:54.781: Message received: team6,robot,1,plate
17:47:54.782: Awarded: 0 pts
17:47:54.850: Message received: team6,robot,1,plate
17:47:54.851: Awarded: 0 pts
17:47:54.918: Message received: team6,robot,1,plate
17:47:54.919: Awarded: 0 pts
17:47:54.987: Message received: team6,robot,1,plate
17:47:54.987: Awarded: 0 pts
17:47:55.061: Message received: team6,robot,1,plate
17:47:55.062: Awarded: 0 pts
17:47:55.131: Message received: team6,robot,1,plate
17:47:55.132: Awarded: 0 pts
17:47:55.196: Message received: team6,robot,1,plate
17:47:55.196: Awarded: 0 pts
17:47:55.265: Message received: team6,robot,1,plate
17:47:55.265: Awarded: 0 pts
17:47:55.327: Message received: team6,robot,1,plate
17:47:55.328: Awarded: 0 pts
17:47:55.397: Message received: team6,robot,1,plate
17:47:55.398: Awarded: 0 pts
17:47:55.463: Message received: team6,robot,1,plate
17:47:55.464: Awarded: 0 pts
17:47:55.531: Message received: team6,robot,1,plate
17:47:55.531: Awarded: 0 pts
17:47:55.603: Message received: team6,robot,1,plate
17:47:55.604: Awarded: 0 pts
17:47:55.672: Message received: team6,robot,1,plate
17:47:55.673: Awarded: 0 pts
17:47:55.738: Message received: team6,robot,1,plate
17:47:55.738: Awarded: 0 pts
17:47:55.804: Message received: team6,robot,1,plate
17:47:55.804: Awarded: 0 pts
17:47:55.874: Message received: team6,robot,1,plate
17:47:55.874: Awarded: 0 pts
17:47:55.939: Message received: team6,robot,1,plate
17:47:55.940: Awarded: 0 pts
17:47:56.009: Message received: team6,robot,1,plate
17:47:56.009: Awarded: 0 pts
17:47:56.081: Message received: team6,robot,1,plate
17:47:56.081: Awarded: 0 pts
17:47:56.143: Message received: team6,robot,1,plate
17:47:56.143: Awarded: 0 pts
17:47:56.213: Message received: team6,robot,1,plate
17:47:56.214: Awarded: 0 pts
17:47:56.282: Message received: team6,robot,1,plate
17:47:56.282: Awarded: 0 pts
17:47:56.353: Message received: team6,robot,1,plate
17:47:56.353: Awarded: 0 pts
17:47:56.415: Message received: team6,robot,1,plate
17:47:56.415: Awarded: 0 pts
