17:54:17.578: Position 1: EO11
17:54:17.578: Position 2: ZP33
17:54:17.579: Position 3: OM80
17:54:17.581: Position 4: LO43
17:54:17.581: Position 5: WK45
17:54:17.581: Position 6: NA41
17:54:17.581: Position 7: JX45
17:54:17.582: Position 8: CM07
17:54:30.700: First command velocity received.
17:54:30.704: Message received: team6,robot,1,plate
17:54:30.706: Awarded: 0 pts
17:54:30.758: Message received: team6,robot,1,plate
17:54:30.758: Awarded: 0 pts
17:54:30.813: Message received: team6,robot,1,plate
17:54:30.814: Awarded: 0 pts
17:54:30.861: Message received: team6,robot,1,plate
17:54:30.861: Awarded: 0 pts
17:54:30.927: Message received: team6,robot,1,plate
17:54:30.927: Awarded: 0 pts
17:54:30.991: Message received: team6,robot,1,plate
17:54:30.992: Awarded: 0 pts
17:54:31.062: Message received: team6,robot,1,plate
17:54:31.062: Awarded: 0 pts
17:54:31.133: Message received: team6,robot,1,plate
17:54:31.135: Awarded: 0 pts
17:54:31.208: Message received: team6,robot,1,plate
17:54:31.209: Awarded: 0 pts
17:54:31.269: Message received: team6,robot,1,plate
17:54:31.269: Awarded: 0 pts
17:54:31.337: Message received: team6,robot,1,plate
17:54:31.337: Awarded: 0 pts
17:54:31.403: Message received: team6,robot,1,plate
17:54:31.403: Awarded: 0 pts
17:54:31.469: Message received: team6,robot,1,plate
17:54:31.469: Awarded: 0 pts
17:54:31.536: Message received: team6,robot,1,plate
17:54:31.537: Awarded: 0 pts
17:54:31.607: Message received: team6,robot,1,plate
17:54:31.607: Awarded: 0 pts
17:54:31.677: Message received: team6,robot,1,plate
17:54:31.677: Awarded: 0 pts
17:54:31.741: Message received: team6,robot,1,plate
17:54:31.742: Awarded: 0 pts
17:54:31.813: Message received: team6,robot,1,plate
17:54:31.813: Awarded: 0 pts
17:54:31.882: Message received: team6,robot,1,plate
17:54:31.882: Awarded: 0 pts
17:54:31.950: Message received: team6,robot,1,plate
17:54:31.950: Awarded: 0 pts
17:54:32.016: Message received: team6,robot,1,plate
17:54:32.017: Awarded: 0 pts
17:54:32.083: Message received: team6,robot,1,plate
17:54:32.083: Awarded: 0 pts
17:54:32.153: Message received: team6,robot,1,plate
17:54:32.154: Awarded: 0 pts
17:54:32.219: Message received: team6,robot,1,plate
17:54:32.220: Awarded: 0 pts
17:54:32.285: Message received: team6,robot,1,plate
17:54:32.286: Awarded: 0 pts
17:54:32.354: Message received: team6,robot,1,plate
17:54:32.355: Awarded: 0 pts
17:54:32.424: Message received: team6,robot,1,plate
17:54:32.425: Awarded: 0 pts
17:54:32.489: Message received: team6,robot,1,plate
17:54:32.490: Awarded: 0 pts
17:54:32.557: Message received: team6,robot,1,plate
17:54:32.557: Awarded: 0 pts
17:54:32.631: Message received: team6,robot,1,plate
17:54:32.632: Awarded: 0 pts
17:54:32.693: Message received: team6,robot,1,plate
17:54:32.694: Awarded: 0 pts
17:54:32.770: Message received: team6,robot,1,plate
17:54:32.770: Awarded: 0 pts
17:54:32.831: Message received: team6,robot,1,plate
17:54:32.831: Awarded: 0 pts
17:54:32.896: Message received: team6,robot,1,plate
17:54:32.896: Awarded: 0 pts
17:54:32.966: Message received: team6,robot,1,plate
17:54:32.966: Awarded: 0 pts
17:54:33.032: Message received: team6,robot,1,plate
17:54:33.033: Awarded: 0 pts
17:54:33.102: Message received: team6,robot,1,plate
17:54:33.103: Awarded: 0 pts
17:54:33.167: Message received: team6,robot,1,plate
17:54:33.168: Awarded: 0 pts
17:54:33.236: Message received: team6,robot,1,plate
17:54:33.237: Awarded: 0 pts
17:54:33.304: Message received: team6,robot,1,plate
17:54:33.305: Awarded: 0 pts
17:54:33.372: Message received: team6,robot,1,plate
17:54:33.373: Awarded: 0 pts
17:54:33.435: Message received: team6,robot,1,plate
17:54:33.436: Awarded: 0 pts
17:54:33.505: Message received: team6,robot,1,plate
17:54:33.506: Awarded: 0 pts
17:54:33.572: Message received: team6,robot,1,plate
17:54:33.573: Awarded: 0 pts
17:54:33.635: Message received: team6,robot,1,plate
