17:56:33.964: Position 1: EG46
17:56:33.964: Position 2: HR69
17:56:33.965: Position 3: RF90
17:56:33.966: Position 4: SJ41
17:56:33.966: Position 5: XO46
17:56:33.967: Position 6: ZS23
17:56:33.967: Position 7: IQ24
17:56:33.967: Position 8: JV54
17:56:48.670: First command velocity received.
17:56:48.675: Message received: team6,robot,1,plate
17:56:48.675: Awarded: 0 pts
17:56:48.719: Message received: team6,robot,1,plate
17:56:48.721: Awarded: 0 pts
17:56:48.777: Message received: team6,robot,1,plate
17:56:48.777: Awarded: 0 pts
17:56:48.843: Message received: team6,robot,1,plate
17:56:48.845: Awarded: 0 pts
17:56:48.911: Message received: team6,robot,1,plate
17:56:48.912: Awarded: 0 pts
17:56:48.977: Message received: team6,robot,1,plate
17:56:48.978: Awarded: 0 pts
17:56:49.047: Message received: team6,robot,1,plate
17:56:49.047: Awarded: 0 pts
17:56:49.117: Message received: team6,robot,1,plate
17:56:49.118: Awarded: 0 pts
17:56:49.183: Message received: team6,robot,1,plate
17:56:49.184: Awarded: 0 pts
17:56:49.252: Message received: team6,robot,1,plate
17:56:49.252: Awarded: 0 pts
17:56:49.319: Message received: team6,robot,1,plate
17:56:49.319: Awarded: 0 pts
17:56:49.385: Message received: team6,robot,1,plate
17:56:49.385: Awarded: 0 pts
17:56:49.454: Message received: team6,robot,1,plate
17:56:49.455: Awarded: 0 pts
17:56:49.520: Message received: team6,robot,1,plate
17:56:49.521: Awarded: 0 pts
17:56:49.589: Message received: team6,robot,1,plate
17:56:49.589: Awarded: 0 pts
17:56:49.655: Message received: team6,robot,1,plate
17:56:49.656: Awarded: 0 pts
17:56:49.724: Message received: team6,robot,1,plate
17:56:49.725: Awarded: 0 pts
17:56:49.791: Message received: team6,robot,1,plate
17:56:49.791: Awarded: 0 pts
17:56:49.865: Message received: team6,robot,1,plate
17:56:49.866: Awarded: 0 pts
17:56:49.931: Message received: team6,robot,1,plate
17:56:49.932: Awarded: 0 pts
17:56:49.999: Message received: team6,robot,1,plate
17:56:49.999: Awarded: 0 pts
17:56:50.064: Message received: team6,robot,1,plate
17:56:50.065: Awarded: 0 pts
17:56:50.132: Message received: team6,robot,1,plate
17:56:50.133: Awarded: 0 pts
17:56:50.203: Message received: team6,robot,1,plate
17:56:50.203: Awarded: 0 pts
17:56:50.269: Message received: team6,robot,1,plate
17:56:50.269: Awarded: 0 pts
17:56:50.335: Message received: team6,robot,1,plate
17:56:50.335: Awarded: 0 pts
17:56:50.403: Message received: team6,robot,1,plate
17:56:50.404: Awarded: 0 pts
17:56:50.471: Message received: team6,robot,1,plate
17:56:50.472: Awarded: 0 pts
17:56:50.541: Message received: team6,robot,1,plate
17:56:50.542: Awarded: 0 pts
17:56:50.608: Message received: team6,robot,1,plate
17:56:50.609: Awarded: 0 pts
17:56:50.673: Message received: team6,robot,1,plate
17:56:50.673: Awarded: 0 pts
17:56:50.742: Message received: team6,robot,1,plate
17:56:50.742: Awarded: 0 pts
17:56:50.808: Message received: team6,robot,1,plate
17:56:50.809: Awarded: 0 pts
17:56:50.884: Message received: team6,robot,1,plate
17:56:50.885: Awarded: 0 pts
