18:01:52.615: Position 1: WZ15
18:01:52.615: Position 2: FF62
18:01:52.616: Position 3: LL91
18:01:52.618: Position 4: UK20
18:01:52.618: Position 5: ZF83
18:01:52.619: Position 6: CP85
18:01:52.619: Position 7: CD17
18:01:52.619: Position 8: OC43
18:02:03.603: First command velocity received.
18:02:03.608: Message received: team6,robot,1,plate
18:02:03.609: Awarded: 0 pts
18:02:03.653: Message received: team6,robot,1,plate
18:02:03.653: Awarded: 0 pts
18:02:03.714: Message received: team6,robot,1,plate
18:02:03.715: Awarded: 0 pts
18:02:03.782: Message received: team6,robot,1,plate
18:02:03.783: Awarded: 0 pts
18:02:03.850: Message received: team6,robot,1,plate
18:02:03.851: Awarded: 0 pts
18:02:03.918: Message received: team6,robot,1,plate
18:02:03.918: Awarded: 0 pts
18:02:03.986: Message received: team6,robot,1,plate
18:02:03.987: Awarded: 0 pts
18:02:04.050: Message received: team6,robot,1,plate
18:02:04.051: Awarded: 0 pts
18:02:04.121: Message received: team6,robot,1,plate
18:02:04.121: Awarded: 0 pts
18:02:04.188: Message received: team6,robot,1,plate
18:02:04.188: Awarded: 0 pts
18:02:04.255: Message received: team6,robot,1,plate
18:02:04.255: Awarded: 0 pts
18:02:04.325: Message received: team6,robot,1,plate
18:02:04.325: Awarded: 0 pts
18:02:04.391: Message received: team6,robot,1,plate
18:02:04.391: Awarded: 0 pts
18:02:04.459: Message received: team6,robot,1,plate
18:02:04.460: Awarded: 0 pts
18:02:04.528: Message received: team6,robot,1,plate
18:02:04.528: Awarded: 0 pts
18:02:04.593: Message received: team6,robot,1,plate
18:02:04.593: Awarded: 0 pts
18:02:04.665: Message received: team6,robot,1,plate
18:02:04.666: Awarded: 0 pts
18:02:04.731: Message received: team6,robot,1,plate
18:02:04.732: Awarded: 0 pts
18:02:04.797: Message received: team6,robot,1,plate
18:02:04.797: Awarded: 0 pts
18:02:04.865: Message received: team6,robot,1,plate
18:02:04.866: Awarded: 0 pts
18:02:04.935: Message received: team6,robot,1,plate
18:02:04.935: Awarded: 0 pts
18:02:05.002: Message received: team6,robot,1,plate
18:02:05.002: Awarded: 0 pts
18:02:05.070: Message received: team6,robot,1,plate
18:02:05.070: Awarded: 0 pts
18:02:05.137: Message received: team6,robot,1,plate
18:02:05.138: Awarded: 0 pts
18:02:05.202: Message received: team6,robot,1,plate
18:02:05.203: Awarded: 0 pts
18:02:05.271: Message received: team6,robot,1,plate
18:02:05.272: Awarded: 0 pts
18:02:05.341: Message received: team6,robot,1,plate
18:02:05.342: Awarded: 0 pts
18:02:05.406: Message received: team6,robot,1,plate
18:02:05.407: Awarded: 0 pts
18:02:05.473: Message received: team6,robot,1,plate
18:02:05.474: Awarded: 0 pts
18:02:05.547: Message received: team6,robot,1,plate
18:02:05.547: Awarded: 0 pts
18:02:05.613: Message received: team6,robot,1,plate
18:02:05.614: Awarded: 0 pts
18:02:05.680: Message received: team6,robot,1,plate
18:02:05.680: Awarded: 0 pts
18:02:05.743: Message received: team6,robot,1,plate
18:02:05.743: Awarded: 0 pts
18:02:05.812: Message received: team6,robot,1,plate
18:02:05.813: Awarded: 0 pts
18:02:05.880: Message received: team6,robot,1,plate
18:02:05.881: Awarded: 0 pts
18:02:05.951: Message received: team6,robot,1,plate
18:02:05.952: Awarded: 0 pts
18:02:06.016: Message received: team6,robot,1,plate
18:02:06.016: Awarded: 0 pts
18:02:06.082: Message received: team6,robot,1,plate
18:02:06.083: Awarded: 0 pts
18:02:06.152: Message received: team6,robot,1,plate
18:02:06.153: Awarded: 0 pts
18:02:06.221: Message received: team6,robot,1,plate
18:02:06.221: Awarded: 0 pts
18:02:06.287: Message received: team6,robot,1,plate
18:02:06.287: Awarded: 0 pts
18:02:06.357: Message received: team6,robot,1,plate
18:02:06.357: Awarded: 0 pts
18:02:06.424: Message received: team6,robot,1,plate
18:02:06.425: Awarded: 0 pts
18:02:06.492: Message received: team6,robot,1,plate
18:02:06.493: Awarded: 0 pts
18:02:06.559: Message received: team6,robot,1,plate
18:02:06.560: Awarded: 0 pts
18:02:06.626: Message received: team6,robot,1,plate
18:02:06.626: Awarded: 0 pts
18:02:06.696: Message received: team6,robot,1,plate
18:02:06.697: Awarded: 0 pts
18:02:06.765: Message received: team6,robot,1,plate
18:02:06.765: Awarded: 0 pts
18:02:06.830: Message received: team6,robot,1,plate
18:02:06.830: Awarded: 0 pts
18:02:06.897: Message received: team6,robot,1,plate
18:02:06.897: Awarded: 0 pts
18:02:06.965: Message received: team6,robot,1,plate
18:02:06.965: Awarded: 0 pts
18:02:07.033: Message received: team6,robot,1,plate
18:02:07.034: Awarded: 0 pts
18:02:07.103: Message received: team6,robot,1,plate
18:02:07.103: Awarded: 0 pts
18:02:07.167: Message received: team6,robot,1,plate
18:02:07.167: Awarded: 0 pts
18:02:07.235: Message received: team6,robot,1,plate
18:02:07.235: Awarded: 0 pts
18:02:07.302: Message received: team6,robot,1,plate
18:02:07.303: Awarded: 0 pts
18:02:07.373: Message received: team6,robot,1,plate
18:02:07.373: Awarded: 0 pts
18:02:07.438: Message received: team6,robot,1,plate
18:02:07.439: Awarded: 0 pts
18:02:07.512: Message received: team6,robot,1,plate
18:02:07.513: Awarded: 0 pts
18:02:07.575: Message received: team6,robot,1,plate
18:02:07.576: Awarded: 0 pts
18:02:07.641: Message received: team6,robot,1,plate
18:02:07.642: Awarded: 0 pts
18:02:07.717: Message received: team6,robot,1,plate
18:02:07.718: Awarded: 0 pts
18:02:07.777: Message received: team6,robot,1,plate
18:02:07.778: Awarded: 0 pts
18:02:07.843: Message received: team6,robot,1,plate
18:02:07.844: Awarded: 0 pts
18:02:07.918: Message received: team6,robot,1,plate
18:02:07.919: Awarded: 0 pts
18:02:07.981: Message received: team6,robot,1,plate
18:02:07.981: Awarded: 0 pts
18:02:08.048: Message received: team6,robot,1,plate
18:02:08.048: Awarded: 0 pts
18:02:08.114: Message received: team6,robot,1,plate
18:02:08.115: Awarded: 0 pts
18:02:08.186: Message received: team6,robot,1,plate
18:02:08.187: Awarded: 0 pts
18:02:08.251: Message received: team6,robot,1,plate
18:02:08.251: Awarded: 0 pts
18:02:08.318: Message received: team6,robot,1,plate
18:02:08.318: Awarded: 0 pts
18:02:08.389: Message received: team6,robot,1,plate
18:02:08.389: Awarded: 0 pts
18:02:08.453: Message received: team6,robot,1,plate
18:02:08.454: Awarded: 0 pts
18:02:08.524: Message received: team6,robot,1,plate
18:02:08.524: Awarded: 0 pts
18:02:08.590: Message received: team6,robot,1,plate
18:02:08.591: Awarded: 0 pts
18:02:08.654: Message received: team6,robot,1,plate
18:02:08.655: Awarded: 0 pts
18:02:08.725: Message received: team6,robot,1,plate
18:02:08.725: Awarded: 0 pts
18:02:08.795: Message received: team6,robot,1,plate
18:02:08.796: Awarded: 0 pts
18:02:08.860: Message received: team6,robot,1,plate
18:02:08.861: Awarded: 0 pts
18:02:08.928: Message received: team6,robot,1,plate
18:02:08.928: Awarded: 0 pts
18:02:08.993: Message received: team6,robot,1,plate
18:02:08.994: Awarded: 0 pts
18:02:09.064: Message received: team6,robot,1,plate
18:02:09.065: Awarded: 0 pts
18:02:09.131: Message received: team6,robot,1,plate
18:02:09.132: Awarded: 0 pts
18:02:09.198: Message received: team6,robot,1,plate
18:02:09.199: Awarded: 0 pts
18:02:09.266: Message received: team6,robot,1,plate
18:02:09.267: Awarded: 0 pts
18:02:09.336: Message received: team6,robot,1,plate
18:02:09.337: Awarded: 0 pts
18:02:09.408: Message received: team6,robot,1,plate
18:02:09.409: Awarded: 0 pts
18:02:09.469: Message received: team6,robot,1,plate
18:02:09.470: Awarded: 0 pts
18:02:09.536: Message received: team6,robot,1,plate
18:02:09.537: Awarded: 0 pts
18:02:09.613: Message received: team6,robot,1,plate
18:02:09.614: Awarded: 0 pts
18:02:09.671: Message received: team6,robot,1,plate
18:02:09.672: Awarded: 0 pts
18:02:09.740: Message received: team6,robot,1,plate
18:02:09.740: Awarded: 0 pts
18:02:09.806: Message received: team6,robot,1,plate
18:02:09.807: Awarded: 0 pts
18:02:09.872: Message received: team6,robot,1,plate
18:02:09.873: Awarded: 0 pts
18:02:09.942: Message received: team6,robot,1,plate
18:02:09.943: Awarded: 0 pts
18:02:10.011: Message received: team6,robot,1,plate
18:02:10.011: Awarded: 0 pts
18:02:10.079: Message received: team6,robot,1,plate
18:02:10.079: Awarded: 0 pts
18:02:10.143: Message received: team6,robot,1,plate
18:02:10.143: Awarded: 0 pts
18:02:10.212: Message received: team6,robot,1,plate
18:02:10.213: Awarded: 0 pts
18:02:10.280: Message received: team6,robot,1,plate
18:02:10.281: Awarded: 0 pts
18:02:10.353: Message received: team6,robot,1,plate
18:02:10.353: Awarded: 0 pts
18:02:10.421: Message received: team6,robot,1,plate
18:02:10.422: Awarded: 0 pts
18:02:10.492: Message received: team6,robot,1,plate
18:02:10.493: Awarded: 0 pts
18:02:10.552: Message received: team6,robot,1,plate
18:02:10.553: Awarded: 0 pts
18:02:10.622: Message received: team6,robot,1,plate
18:02:10.622: Awarded: 0 pts
18:02:10.690: Message received: team6,robot,1,plate
18:02:10.691: Awarded: 0 pts
18:02:10.752: Message received: team6,robot,1,plate
18:02:10.753: Awarded: 0 pts
18:02:10.822: Message received: team6,robot,1,plate
18:02:10.822: Awarded: 0 pts
18:02:10.888: Message received: team6,robot,1,plate
18:02:10.889: Awarded: 0 pts
18:02:10.956: Message received: team6,robot,1,plate
18:02:10.957: Awarded: 0 pts
18:02:11.024: Message received: team6,robot,1,plate
18:02:11.025: Awarded: 0 pts
18:02:11.089: Message received: team6,robot,1,plate
18:02:11.090: Awarded: 0 pts
18:02:11.161: Message received: team6,robot,1,plate
18:02:11.162: Awarded: 0 pts
18:02:11.229: Message received: team6,robot,1,plate
18:02:11.230: Awarded: 0 pts
18:02:11.295: Message received: team6,robot,1,plate
18:02:11.295: Awarded: 0 pts
18:02:11.372: Message received: team6,robot,1,plate
18:02:11.372: Awarded: 0 pts
18:02:11.432: Message received: team6,robot,1,plate
18:02:11.433: Awarded: 0 pts
18:02:11.500: Message received: team6,robot,1,plate
18:02:11.501: Awarded: 0 pts
18:02:11.566: Message received: team6,robot,1,plate
18:02:11.567: Awarded: 0 pts
18:02:11.631: Message received: team6,robot,1,plate
18:02:11.632: Awarded: 0 pts
18:02:11.710: Message received: team6,robot,1,plate
18:02:11.711: Awarded: 0 pts
18:02:11.769: Message received: team6,robot,1,plate
18:02:11.770: Awarded: 0 pts
18:02:11.836: Message received: team6,robot,1,plate
18:02:11.837: Awarded: 0 pts
18:02:11.904: Message received: team6,robot,1,plate
18:02:11.905: Awarded: 0 pts
18:02:11.972: Message received: team6,robot,1,plate
18:02:11.973: Awarded: 0 pts
18:02:12.038: Message received: team6,robot,1,plate
18:02:12.039: Awarded: 0 pts
18:02:12.104: Message received: team6,robot,1,plate
18:02:12.105: Awarded: 0 pts
18:02:12.173: Message received: team6,robot,1,plate
18:02:12.174: Awarded: 0 pts
18:02:12.240: Message received: team6,robot,1,plate
18:02:12.241: Awarded: 0 pts
18:02:12.315: Message received: team6,robot,1,plate
18:02:12.316: Awarded: 0 pts
18:02:12.378: Message received: team6,robot,1,plate
18:02:12.379: Awarded: 0 pts
18:02:12.445: Message received: team6,robot,1,plate
18:02:12.445: Awarded: 0 pts
18:02:12.513: Message received: team6,robot,1,plate
18:02:12.514: Awarded: 0 pts
18:02:12.577: Message received: team6,robot,1,plate
18:02:12.578: Awarded: 0 pts
18:02:12.648: Message received: team6,robot,1,plate
18:02:12.649: Awarded: 0 pts
18:02:12.716: Message received: team6,robot,1,plate
18:02:12.717: Awarded: 0 pts
18:02:12.783: Message received: team6,robot,1,plate
18:02:12.784: Awarded: 0 pts
18:02:12.853: Message received: team6,robot,1,plate
18:02:12.853: Awarded: 0 pts
18:02:12.923: Message received: team6,robot,1,plate
18:02:12.923: Awarded: 0 pts
18:02:12.989: Message received: team6,robot,1,plate
18:02:12.990: Awarded: 0 pts
18:02:13.055: Message received: team6,robot,1,plate
18:02:13.056: Awarded: 0 pts
18:02:13.123: Message received: team6,robot,1,plate
18:02:13.124: Awarded: 0 pts
18:02:13.190: Message received: team6,robot,1,plate
18:02:13.191: Awarded: 0 pts
18:02:13.259: Message received: team6,robot,1,plate
18:02:13.260: Awarded: 0 pts
18:02:13.327: Message received: team6,robot,1,plate
18:02:13.328: Awarded: 0 pts
18:02:13.392: Message received: team6,robot,1,plate
18:02:13.392: Awarded: 0 pts
18:02:13.461: Message received: team6,robot,1,plate
18:02:13.462: Awarded: 0 pts
18:02:13.530: Message received: team6,robot,1,plate
18:02:13.530: Awarded: 0 pts
18:02:13.597: Message received: team6,robot,1,plate
18:02:13.598: Awarded: 0 pts
18:02:13.653: Message received: team6,robot,-1,stop
18:02:13.754: Message received: team6,robot,1,plate
18:02:13.755: Awarded: 0 pts
18:02:13.755: Message received: team6,robot,1,plate
18:02:13.756: Awarded: 0 pts
18:02:13.806: Message received: team6,robot,1,plate
18:02:13.807: Awarded: 0 pts
18:02:13.870: Message received: team6,robot,1,plate
18:02:13.871: Awarded: 0 pts
18:02:13.936: Message received: team6,robot,1,plate
18:02:13.937: Awarded: 0 pts
18:02:14.002: Message received: team6,robot,1,plate
18:02:14.003: Awarded: 0 pts
18:02:14.072: Message received: team6,robot,1,plate
18:02:14.073: Awarded: 0 pts
18:02:14.139: Message received: team6,robot,1,plate
18:02:14.140: Awarded: 0 pts
18:02:14.205: Message received: team6,robot,1,plate
18:02:14.206: Awarded: 0 pts
18:02:14.272: Message received: team6,robot,1,plate
18:02:14.272: Awarded: 0 pts
18:02:14.341: Message received: team6,robot,1,plate
18:02:14.341: Awarded: 0 pts
18:02:14.413: Message received: team6,robot,1,plate
18:02:14.414: Awarded: 0 pts
18:02:14.478: Message received: team6,robot,1,plate
18:02:14.478: Awarded: 0 pts
18:02:14.545: Message received: team6,robot,1,plate
18:02:14.546: Awarded: 0 pts
18:02:14.610: Message received: team6,robot,1,plate
18:02:14.611: Awarded: 0 pts
18:02:14.678: Message received: team6,robot,1,plate
18:02:14.679: Awarded: 0 pts
18:02:14.749: Message received: team6,robot,1,plate
18:02:14.749: Awarded: 0 pts
18:02:14.815: Message received: team6,robot,1,plate
18:02:14.816: Awarded: 0 pts
18:02:14.879: Message received: team6,robot,1,plate
18:02:14.879: Awarded: 0 pts
18:02:14.946: Message received: team6,robot,1,plate
18:02:14.947: Awarded: 0 pts
18:02:15.015: Message received: team6,robot,1,plate
18:02:15.016: Awarded: 0 pts
18:02:15.083: Message received: team6,robot,1,plate
18:02:15.083: Awarded: 0 pts
18:02:15.206: Message received: team6,robot,1,plate
18:02:15.207: Awarded: 0 pts
