18:06:21.787: Position 1: MR71
18:06:21.788: Position 2: CI40
18:06:21.788: Position 3: OV31
18:06:21.788: Position 4: XO52
18:06:21.788: Position 5: UX05
18:06:21.788: Position 6: SZ15
18:06:21.789: Position 7: OP24
18:06:21.789: Position 8: XT38
18:06:31.487: First command velocity received.
18:06:31.492: Message received: team6,robot,1,plate
18:06:31.493: Awarded: 0 pts
18:06:31.535: Message received: team6,robot,1,plate
18:06:31.536: Awarded: 0 pts
18:06:31.602: Message received: team6,robot,1,plate
18:06:31.602: Awarded: 0 pts
18:06:31.665: Message received: team6,robot,1,plate
18:06:31.665: Awarded: 0 pts
18:06:31.734: Message received: team6,robot,1,plate
18:06:31.735: Awarded: 0 pts
18:06:31.802: Message received: team6,robot,1,plate
18:06:31.802: Awarded: 0 pts
18:06:31.869: Message received: team6,robot,1,plate
18:06:31.869: Awarded: 0 pts
18:06:31.936: Message received: team6,robot,1,plate
18:06:31.938: Awarded: 0 pts
18:06:32.003: Message received: team6,robot,1,plate
18:06:32.004: Awarded: 0 pts
18:06:32.069: Message received: team6,robot,1,plate
18:06:32.070: Awarded: 0 pts
18:06:32.148: Message received: team6,robot,1,plate
18:06:32.148: Awarded: 0 pts
18:06:32.210: Message received: team6,robot,1,plate
18:06:32.211: Awarded: 0 pts
18:06:32.273: Message received: team6,robot,1,plate
18:06:32.273: Awarded: 0 pts
18:06:32.340: Message received: team6,robot,1,plate
18:06:32.340: Awarded: 0 pts
18:06:32.413: Message received: team6,robot,1,plate
18:06:32.414: Awarded: 0 pts
18:06:32.477: Message received: team6,robot,1,plate
18:06:32.477: Awarded: 0 pts
18:06:32.546: Message received: team6,robot,1,plate
18:06:32.547: Awarded: 0 pts
18:06:32.618: Message received: team6,robot,1,plate
18:06:32.618: Awarded: 0 pts
18:06:32.684: Message received: team6,robot,1,plate
18:06:32.684: Awarded: 0 pts
18:06:32.750: Message received: team6,robot,1,plate
18:06:32.751: Awarded: 0 pts
18:06:32.815: Message received: team6,robot,1,plate
18:06:32.818: Awarded: 0 pts
18:06:32.887: Message received: team6,robot,1,plate
18:06:32.888: Awarded: 0 pts
18:06:32.951: Message received: team6,robot,1,plate
18:06:32.951: Awarded: 0 pts
18:06:33.019: Message received: team6,robot,1,plate
18:06:33.020: Awarded: 0 pts
18:06:33.085: Message received: team6,robot,1,plate
18:06:33.085: Awarded: 0 pts
18:06:33.153: Message received: team6,robot,1,plate
18:06:33.153: Awarded: 0 pts
18:06:33.226: Message received: team6,robot,1,plate
18:06:33.226: Awarded: 0 pts
18:06:33.295: Message received: team6,robot,1,plate
18:06:33.296: Awarded: 0 pts
18:06:33.359: Message received: team6,robot,1,plate
18:06:33.359: Awarded: 0 pts
18:06:33.426: Message received: team6,robot,1,plate
18:06:33.427: Awarded: 0 pts
18:06:33.492: Message received: team6,robot,1,plate
18:06:33.493: Awarded: 0 pts
18:06:33.560: Message received: team6,robot,1,plate
18:06:33.561: Awarded: 0 pts
18:06:33.632: Message received: team6,robot,1,plate
18:06:33.632: Awarded: 0 pts
18:06:33.697: Message received: team6,robot,1,plate
18:06:33.698: Awarded: 0 pts
18:06:33.764: Message received: team6,robot,1,plate
18:06:33.765: Awarded: 0 pts
18:06:33.834: Message received: team6,robot,1,plate
18:06:33.835: Awarded: 0 pts
18:06:33.903: Message received: team6,robot,1,plate
18:06:33.903: Awarded: 0 pts
18:06:33.966: Message received: team6,robot,1,plate
18:06:33.967: Awarded: 0 pts
18:06:34.037: Message received: team6,robot,1,plate
18:06:34.038: Awarded: 0 pts
18:06:34.111: Message received: team6,robot,1,plate
18:06:34.112: Awarded: 0 pts
18:06:34.172: Message received: team6,robot,1,plate
18:06:34.173: Awarded: 0 pts
18:06:34.240: Message received: team6,robot,1,plate
18:06:34.240: Awarded: 0 pts
18:06:34.303: Message received: team6,robot,1,plate
18:06:34.303: Awarded: 0 pts
18:06:34.372: Message received: team6,robot,1,plate
18:06:34.372: Awarded: 0 pts
18:06:34.442: Message received: team6,robot,1,plate
18:06:34.442: Awarded: 0 pts
18:06:34.507: Message received: team6,robot,1,plate
18:06:34.507: Awarded: 0 pts
18:06:34.580: Message received: team6,robot,1,plate
18:06:34.580: Awarded: 0 pts
18:06:34.652: Message received: team6,robot,1,plate
18:06:34.653: Awarded: 0 pts
18:06:34.715: Message received: team6,robot,1,plate
18:06:34.716: Awarded: 0 pts
18:06:34.780: Message received: team6,robot,1,plate
18:06:34.780: Awarded: 0 pts
18:06:34.847: Message received: team6,robot,1,plate
18:06:34.848: Awarded: 0 pts
18:06:34.917: Message received: team6,robot,1,plate
18:06:34.918: Awarded: 0 pts
18:06:34.987: Message received: team6,robot,1,plate
18:06:34.987: Awarded: 0 pts
18:06:35.059: Message received: team6,robot,1,plate
18:06:35.060: Awarded: 0 pts
18:06:35.121: Message received: team6,robot,1,plate
18:06:35.121: Awarded: 0 pts
18:06:35.184: Message received: team6,robot,1,plate
18:06:35.185: Awarded: 0 pts
18:06:35.255: Message received: team6,robot,1,plate
18:06:35.256: Awarded: 0 pts
18:06:35.323: Message received: team6,robot,1,plate
18:06:35.324: Awarded: 0 pts
18:06:35.389: Message received: team6,robot,1,plate
