18:07:37.400: Position 1: JY51
18:07:37.408: Position 2: WH32
18:07:37.408: Position 3: VZ19
18:07:37.409: Position 4: ZG35
18:07:37.410: Position 5: DS86
18:07:37.411: Position 6: BX23
18:07:37.412: Position 7: NS45
18:07:37.412: Position 8: LW30
18:07:39.505: First command velocity received.
18:08:11.970: Message received: team,robot,1,XXXX
18:08:11.971: Awarded: 0 pts
18:08:12.018: Message received: team,robot,1,XXXX
18:08:12.018: Awarded: 0 pts
18:08:12.065: Message received: team,robot,1,XXXX
18:08:12.065: Awarded: 0 pts
18:08:12.130: Message received: team,robot,1,XXXX
18:08:12.131: Awarded: 0 pts
18:08:12.194: Message received: team,robot,1,XXXX
18:08:12.195: Awarded: 0 pts
18:08:12.262: Message received: team,robot,1,XXXX
18:08:12.262: Awarded: 0 pts
18:08:12.328: Message received: team,robot,1,XXXX
18:08:12.328: Awarded: 0 pts
18:08:12.401: Message received: team,robot,1,XXXX
18:08:12.402: Awarded: 0 pts
18:08:12.464: Message received: team,robot,1,XXXX
18:08:12.465: Awarded: 0 pts
18:08:12.531: Message received: team,robot,1,XXXX
18:08:12.532: Awarded: 0 pts
18:08:12.596: Message received: team,robot,1,XXXX
18:08:12.597: Awarded: 0 pts
18:08:12.668: Message received: team,robot,1,XXXX
18:08:12.669: Awarded: 0 pts
18:08:12.736: Message received: team,robot,1,XXXX
18:08:12.737: Awarded: 0 pts
18:08:12.807: Message received: team,robot,1,XXXX
18:08:12.808: Awarded: 0 pts
18:08:12.871: Message received: team,robot,1,XXXX
18:08:12.872: Awarded: 0 pts
18:08:12.937: Message received: team,robot,1,XXXX
18:08:12.938: Awarded: 0 pts
18:08:13.004: Message received: team,robot,1,XXXX
18:08:13.005: Awarded: 0 pts
18:08:13.073: Message received: team,robot,1,XXXX
18:08:13.074: Awarded: 0 pts
18:08:13.141: Message received: team,robot,1,XXXX
18:08:13.141: Awarded: 0 pts
18:08:13.208: Message received: team,robot,1,XXXX
18:08:13.208: Awarded: 0 pts
18:08:13.275: Message received: team,robot,1,XXXX
18:08:13.275: Awarded: 0 pts
18:08:13.345: Message received: team,robot,1,XXXX
18:08:13.348: Awarded: 0 pts
18:08:13.413: Message received: team,robot,1,XXXX
18:08:13.413: Awarded: 0 pts
18:08:13.480: Message received: team,robot,1,XXXX
18:08:13.481: Awarded: 0 pts
18:08:13.551: Message received: team,robot,1,XXXX
18:08:13.551: Awarded: 0 pts
18:08:13.613: Message received: team,robot,1,XXXX
18:08:13.614: Awarded: 0 pts
18:08:13.682: Message received: team,robot,1,XXXX
18:08:13.682: Awarded: 0 pts
18:08:13.750: Message received: team,robot,1,XXXX
18:08:13.751: Awarded: 0 pts
18:08:13.814: Message received: team,robot,1,XXXX
18:08:13.814: Awarded: 0 pts
18:08:13.881: Message received: team,robot,1,XXXX
18:08:13.882: Awarded: 0 pts
18:08:13.948: Message received: team,robot,1,XXXX
18:08:13.949: Awarded: 0 pts
18:08:14.017: Message received: team,robot,1,XXXX
18:08:14.018: Awarded: 0 pts
18:08:14.082: Message received: team,robot,1,XXXX
18:08:14.083: Awarded: 0 pts
18:08:14.153: Message received: team,robot,1,XXXX
18:08:14.153: Awarded: 0 pts
18:08:14.224: Message received: team,robot,1,XXXX
18:08:14.224: Awarded: 0 pts
18:08:14.289: Message received: team,robot,1,XXXX
18:08:14.290: Awarded: 0 pts
18:08:14.356: Message received: team,robot,1,XXXX
18:08:14.357: Awarded: 0 pts
18:08:14.421: Message received: team,robot,1,XXXX
18:08:14.422: Awarded: 0 pts
18:08:14.494: Message received: team,robot,1,XXXX
18:08:14.494: Awarded: 0 pts
18:08:14.565: Message received: team,robot,1,XXXX
18:08:14.566: Awarded: 0 pts
18:08:14.631: Message received: team,robot,1,XXXX
18:08:14.631: Awarded: 0 pts
18:08:14.692: Message received: team,robot,1,XXXX
18:08:14.692: Awarded: 0 pts
18:08:14.756: Message received: team,robot,1,XXXX
18:08:14.757: Awarded: 0 pts
18:08:14.826: Message received: team,robot,1,XXXX
18:08:14.826: Awarded: 0 pts
18:08:14.897: Message received: team,robot,1,XXXX
18:08:14.898: Awarded: 0 pts
18:08:14.963: Message received: team,robot,1,XXXX
18:08:14.964: Awarded: 0 pts
18:08:15.031: Message received: team,robot,1,XXXX
18:08:15.031: Awarded: 0 pts
18:08:15.097: Message received: team,robot,1,XXXX
18:08:15.098: Awarded: 0 pts
18:08:15.164: Message received: team,robot,1,XXXX
18:08:15.165: Awarded: 0 pts
18:08:15.233: Message received: team,robot,1,XXXX
18:08:15.233: Awarded: 0 pts
18:08:15.300: Message received: team,robot,1,XXXX
18:08:15.301: Awarded: 0 pts
18:08:15.368: Message received: team,robot,1,XXXX
18:08:15.369: Awarded: 0 pts
18:08:15.435: Message received: team,robot,1,XXXX
18:08:15.436: Awarded: 0 pts
18:08:15.506: Message received: team,robot,1,XXXX
18:08:15.507: Awarded: 0 pts
18:08:15.571: Message received: team,robot,1,XXXX
18:08:15.571: Awarded: 0 pts
18:08:15.640: Message received: team,robot,1,XXXX
18:08:15.641: Awarded: 0 pts
18:08:15.707: Message received: team,robot,1,XXXX
18:08:15.708: Awarded: 0 pts
18:08:15.781: Message received: team,robot,1,XXXX
18:08:15.782: Awarded: 0 pts
18:08:15.850: Message received: team,robot,1,XXXX
18:08:15.850: Awarded: 0 pts
18:08:15.921: Message received: team,robot,1,XXXX
18:08:15.922: Awarded: 0 pts
18:08:15.990: Message received: team,robot,1,XXXX
18:08:15.990: Awarded: 0 pts
18:08:16.047: Message received: team,robot,1,XXXX
18:08:16.048: Awarded: 0 pts
18:08:16.114: Message received: team,robot,1,XXXX
18:08:16.114: Awarded: 0 pts
18:08:16.181: Message received: team,robot,1,XXXX
18:08:16.182: Awarded: 0 pts
18:08:16.249: Message received: team,robot,1,XXXX
18:08:16.250: Awarded: 0 pts
18:08:16.322: Message received: team,robot,1,XXXX
18:08:16.322: Awarded: 0 pts
18:08:16.386: Message received: team,robot,1,XXXX
18:08:16.387: Awarded: 0 pts
18:08:16.453: Message received: team,robot,1,XXXX
18:08:16.454: Awarded: 0 pts
18:08:16.519: Message received: team,robot,1,XXXX
18:08:16.520: Awarded: 0 pts
18:08:16.587: Message received: team,robot,1,XXXX
18:08:16.588: Awarded: 0 pts
18:08:16.654: Message received: team,robot,1,XXXX
18:08:16.655: Awarded: 0 pts
18:08:16.722: Message received: team,robot,1,XXXX
18:08:16.723: Awarded: 0 pts
18:08:16.787: Message received: team,robot,1,XXXX
18:08:16.787: Awarded: 0 pts
18:08:16.857: Message received: team,robot,1,XXXX
18:08:16.857: Awarded: 0 pts
18:08:16.924: Message received: team,robot,1,XXXX
18:08:16.925: Awarded: 0 pts
18:08:16.997: Message received: team,robot,1,XXXX
18:08:16.997: Awarded: 0 pts
18:08:17.062: Message received: team,robot,1,XXXX
18:08:17.063: Awarded: 0 pts
18:08:17.131: Message received: team,robot,1,XXXX
18:08:17.132: Awarded: 0 pts
18:08:17.199: Message received: team,robot,1,XXXX
18:08:17.199: Awarded: 0 pts
18:08:17.266: Message received: team,robot,1,XXXX
18:08:17.266: Awarded: 0 pts
18:08:17.335: Message received: team,robot,1,XXXX
18:08:17.335: Awarded: 0 pts
18:08:17.400: Message received: team,robot,1,XXXX
18:08:17.401: Awarded: 0 pts
18:08:17.467: Message received: team,robot,1,XXXX
18:08:17.468: Awarded: 0 pts
18:08:17.541: Message received: team,robot,1,XXXX
18:08:17.542: Awarded: 0 pts
18:08:17.603: Message received: team,robot,1,XXXX
18:08:17.603: Awarded: 0 pts
18:08:17.670: Message received: team,robot,1,XXXX
18:08:17.670: Awarded: 0 pts
18:08:17.737: Message received: team,robot,1,XXXX
18:08:17.737: Awarded: 0 pts
18:08:17.806: Message received: team,robot,1,XXXX
18:08:17.806: Awarded: 0 pts
18:08:17.879: Message received: team,robot,1,XXXX
18:08:17.880: Awarded: 0 pts
