18:10:28.829: Position 1: PJ09
18:10:28.829: Position 2: YL12
18:10:28.829: Position 3: WE76
18:10:28.829: Position 4: KZ08
18:10:28.829: Position 5: LX45
18:10:28.830: Position 6: UT74
18:10:28.830: Position 7: MU76
18:10:28.830: Position 8: TC28
18:10:31.397: First command velocity received.
18:13:49.076: Message received: team,robot,1,XXXX
18:13:49.076: Awarded: 0 pts
18:13:49.156: Message received: team,robot,1,XXXX
18:13:49.157: Awarded: 0 pts
18:13:49.237: Message received: team,robot,1,XXXX
18:13:49.238: Awarded: 0 pts
18:13:49.318: Message received: team,robot,1,XXXX
18:13:49.322: Awarded: 0 pts
18:13:49.401: Message received: team,robot,1,XXXX
18:13:49.405: Awarded: 0 pts
18:13:49.491: Message received: team,robot,1,XXXX
18:13:49.492: Awarded: 0 pts
18:13:49.584: Message received: team,robot,1,XXXX
18:13:49.585: Awarded: 0 pts
18:13:49.666: Message received: team,robot,1,XXXX
18:13:49.668: Awarded: 0 pts
18:13:49.750: Message received: team,robot,1,XXXX
18:13:49.751: Awarded: 0 pts
18:13:49.842: Message received: team,robot,1,XXXX
18:13:49.842: Awarded: 0 pts
18:13:49.925: Message received: team,robot,1,XXXX
18:13:49.926: Awarded: 0 pts
18:13:50.020: Message received: team,robot,1,XXXX
18:13:50.021: Awarded: 0 pts
18:13:50.120: Message received: team,robot,1,XXXX
18:13:50.125: Awarded: 0 pts
18:13:50.211: Message received: team,robot,1,XXXX
18:13:50.212: Awarded: 0 pts
18:13:50.301: Message received: team,robot,1,XXXX
18:13:50.310: Awarded: 0 pts
18:13:50.385: Message received: team,robot,1,XXXX
18:13:50.385: Awarded: 0 pts
18:13:50.478: Message received: team,robot,1,XXXX
18:13:50.479: Awarded: 0 pts
18:13:50.564: Message received: team,robot,1,XXXX
18:13:50.565: Awarded: 0 pts
18:13:50.655: Message received: team,robot,1,XXXX
18:13:50.656: Awarded: 0 pts
18:13:50.741: Message received: team,robot,1,XXXX
18:13:50.745: Awarded: 0 pts
18:13:50.829: Message received: team,robot,1,XXXX
18:13:50.830: Awarded: 0 pts
18:13:50.912: Message received: team,robot,1,XXXX
18:13:50.913: Awarded: 0 pts
18:13:51.006: Message received: team,robot,1,XXXX
18:13:51.007: Awarded: 0 pts
18:13:51.092: Message received: team,robot,1,XXXX
18:13:51.093: Awarded: 0 pts
18:13:51.175: Message received: team,robot,1,XXXX
18:13:51.176: Awarded: 0 pts
18:13:51.280: Message received: team,robot,1,XXXX
18:13:51.281: Awarded: 0 pts
18:13:51.364: Message received: team,robot,1,XXXX
18:13:51.366: Awarded: 0 pts
18:13:51.455: Message received: team,robot,1,XXXX
18:13:51.456: Awarded: 0 pts
18:13:51.541: Message received: team,robot,1,XXXX
18:13:51.542: Awarded: 0 pts
18:13:51.627: Message received: team,robot,1,XXXX
18:13:51.628: Awarded: 0 pts
18:13:51.715: Message received: team,robot,1,XXXX
18:13:51.716: Awarded: 0 pts
18:13:51.812: Message received: team,robot,1,XXXX
18:13:51.813: Awarded: 0 pts
18:13:51.906: Message received: team,robot,1,XXXX
18:13:51.907: Awarded: 0 pts
18:13:52.001: Message received: team,robot,1,XXXX
18:13:52.002: Awarded: 0 pts
18:13:52.085: Message received: team,robot,1,XXXX
18:13:52.086: Awarded: 0 pts
18:13:52.176: Message received: team,robot,1,XXXX
18:13:52.177: Awarded: 0 pts
18:13:52.263: Message received: team,robot,1,XXXX
18:13:52.267: Awarded: 0 pts
18:13:52.353: Message received: team,robot,1,XXXX
18:13:52.354: Awarded: 0 pts
18:13:52.448: Message received: team,robot,1,XXXX
18:13:52.449: Awarded: 0 pts
18:13:52.532: Message received: team,robot,1,XXXX
18:13:52.532: Awarded: 0 pts
18:13:52.623: Message received: team,robot,1,XXXX
18:13:52.624: Awarded: 0 pts
18:13:52.707: Message received: team,robot,1,XXXX
18:13:52.708: Awarded: 0 pts
18:13:52.800: Message received: team,robot,1,XXXX
18:13:52.801: Awarded: 0 pts
18:13:52.896: Message received: team,robot,1,XXXX
18:13:52.897: Awarded: 0 pts
18:13:52.979: Message received: team,robot,1,XXXX
18:13:52.979: Awarded: 0 pts
18:13:53.070: Message received: team,robot,1,XXXX
18:13:53.071: Awarded: 0 pts
18:13:53.165: Message received: team,robot,1,XXXX
18:13:53.166: Awarded: 0 pts
18:13:53.246: Message received: team,robot,1,XXXX
18:13:53.246: Awarded: 0 pts
