18:18:00.209: Position 1: XG52
18:18:00.209: Position 2: UO44
18:18:00.210: Position 3: AX92
18:18:00.211: Position 4: XR08
18:18:00.211: Position 5: UO92
18:18:00.211: Position 6: SU20
18:18:00.211: Position 7: IV12
18:18:00.212: Position 8: ZG71
18:18:24.932: First command velocity received.
18:18:24.942: Message received: team,robot,1,XXXX
18:18:24.944: Awarded: 0 pts
18:18:25.014: Message received: team,robot,1,XXXX
18:18:25.015: Awarded: 0 pts
18:18:25.096: Message received: team,robot,1,XXXX
18:18:25.100: Awarded: 0 pts
18:18:25.180: Message received: team,robot,1,XXXX
18:18:25.182: Awarded: 0 pts
18:18:25.263: Message received: team,robot,1,XXXX
18:18:25.265: Awarded: 0 pts
18:18:25.348: Message received: team,robot,1,XXXX
18:18:25.348: Awarded: 0 pts
18:18:25.432: Message received: team,robot,1,XXXX
18:18:25.433: Awarded: 0 pts
18:18:25.525: Message received: team,robot,1,XXXX
18:18:25.527: Awarded: 0 pts
18:18:25.614: Message received: team,robot,1,XXXX
18:18:25.615: Awarded: 0 pts
18:18:25.697: Message received: team,robot,1,XXXX
18:18:25.698: Awarded: 0 pts
18:18:25.784: Message received: team,robot,1,XXXX
18:18:25.784: Awarded: 0 pts
18:18:25.881: Message received: team,robot,1,XXXX
18:18:25.885: Awarded: 0 pts
18:18:25.971: Message received: team,robot,1,XXXX
18:18:25.972: Awarded: 0 pts
18:18:26.053: Message received: team,robot,1,XXXX
18:18:26.053: Awarded: 0 pts
18:18:26.142: Message received: team,robot,1,XXXX
18:18:26.145: Awarded: 0 pts
18:18:26.240: Message received: team,robot,1,XXXX
18:18:26.241: Awarded: 0 pts
18:18:26.322: Message received: team,robot,1,XXXX
18:18:26.323: Awarded: 0 pts
18:18:26.404: Message received: team,robot,1,XXXX
18:18:26.405: Awarded: 0 pts
18:18:26.499: Message received: team,robot,1,XXXX
18:18:26.500: Awarded: 0 pts
18:18:26.590: Message received: team,robot,1,XXXX
18:18:26.592: Awarded: 0 pts
18:18:26.673: Message received: team,robot,1,XXXX
18:18:26.674: Awarded: 0 pts
18:18:26.762: Message received: team,robot,1,XXXX
18:18:26.766: Awarded: 0 pts
18:18:26.841: Message received: team,robot,1,XXXX
18:18:26.842: Awarded: 0 pts
18:18:26.947: Message received: team,robot,1,XXXX
18:18:26.948: Awarded: 0 pts
18:18:27.026: Message received: team,robot,1,XXXX
18:18:27.027: Awarded: 0 pts
18:18:27.110: Message received: team,robot,1,XXXX
18:18:27.111: Awarded: 0 pts
18:18:27.202: Message received: team,robot,1,XXXX
18:18:27.204: Awarded: 0 pts
18:18:27.288: Message received: team,robot,1,XXXX
18:18:27.289: Awarded: 0 pts
18:18:27.388: Message received: team,robot,1,XXXX
18:18:27.390: Awarded: 0 pts
18:18:27.480: Message received: team,robot,1,XXXX
18:18:27.483: Awarded: 0 pts
18:18:27.568: Message received: team,robot,1,XXXX
18:18:27.569: Awarded: 0 pts
18:18:27.647: Message received: team,robot,1,XXXX
18:18:27.648: Awarded: 0 pts
18:18:27.732: Message received: team,robot,1,XXXX
18:18:27.733: Awarded: 0 pts
18:18:27.826: Message received: team,robot,1,XXXX
18:18:27.827: Awarded: 0 pts
18:18:27.908: Message received: team,robot,1,XXXX
18:18:27.908: Awarded: 0 pts
18:18:27.991: Message received: team,robot,1,XXXX
18:18:27.992: Awarded: 0 pts
18:18:28.081: Message received: team,robot,1,XXXX
18:18:28.082: Awarded: 0 pts
18:18:28.166: Message received: team,robot,1,XXXX
18:18:28.166: Awarded: 0 pts
18:18:28.258: Message received: team,robot,1,XXXX
18:18:28.259: Awarded: 0 pts
18:18:28.342: Message received: team,robot,1,XXXX
18:18:28.343: Awarded: 0 pts
18:18:28.435: Message received: team,robot,1,XXXX
18:18:28.436: Awarded: 0 pts
18:18:28.519: Message received: team,robot,1,XXXX
18:18:28.521: Awarded: 0 pts
18:18:28.601: Message received: team,robot,1,XXXX
18:18:28.602: Awarded: 0 pts
18:18:28.692: Message received: team,robot,1,XXXX
18:18:28.693: Awarded: 0 pts
18:18:28.790: Message received: team,robot,1,XXXX
18:18:28.791: Awarded: 0 pts
18:18:28.881: Message received: team,robot,1,XXXX
18:18:28.882: Awarded: 0 pts
18:18:28.965: Message received: team,robot,1,XXXX
18:18:28.966: Awarded: 0 pts
18:18:29.059: Message received: team,robot,1,XXXX
18:18:29.059: Awarded: 0 pts
18:18:29.151: Message received: team,robot,1,XXXX
18:18:29.152: Awarded: 0 pts
18:18:29.233: Message received: team,robot,1,XXXX
18:18:29.234: Awarded: 0 pts
18:18:29.315: Message received: team,robot,1,XXXX
18:18:29.316: Awarded: 0 pts
18:18:29.398: Message received: team,robot,1,XXXX
18:18:29.399: Awarded: 0 pts
18:18:29.490: Message received: team,robot,1,XXXX
18:18:29.491: Awarded: 0 pts
18:18:29.572: Message received: team,robot,1,XXXX
18:18:29.573: Awarded: 0 pts
18:18:29.656: Message received: team,robot,1,XXXX
18:18:29.658: Awarded: 0 pts
18:18:29.745: Message received: team,robot,1,XXXX
18:18:29.746: Awarded: 0 pts
18:18:29.827: Message received: team,robot,1,XXXX
18:18:29.828: Awarded: 0 pts
18:18:29.910: Message received: team,robot,1,XXXX
18:18:29.910: Awarded: 0 pts
18:18:30.001: Message received: team,robot,1,XXXX
18:18:30.002: Awarded: 0 pts
18:18:30.084: Message received: team,robot,1,XXXX
18:18:30.084: Awarded: 0 pts
18:18:30.166: Message received: team,robot,1,XXXX
18:18:30.167: Awarded: 0 pts
18:18:30.257: Message received: team,robot,1,XXXX
18:18:30.258: Awarded: 0 pts
18:18:30.343: Message received: team,robot,1,XXXX
18:18:30.344: Awarded: 0 pts
18:18:30.432: Message received: team,robot,1,XXXX
18:18:30.432: Awarded: 0 pts
18:18:30.513: Message received: team,robot,1,XXXX
18:18:30.514: Awarded: 0 pts
18:18:30.595: Message received: team,robot,1,XXXX
18:18:30.596: Awarded: 0 pts
18:18:30.687: Message received: team,robot,1,XXXX
18:18:30.688: Awarded: 0 pts
18:18:30.767: Message received: team,robot,1,XXXX
18:18:30.768: Awarded: 0 pts
18:18:30.850: Message received: team,robot,1,XXXX
18:18:30.851: Awarded: 0 pts
18:18:30.933: Message received: team,robot,1,XXXX
18:18:30.933: Awarded: 0 pts
18:18:31.026: Message received: team,robot,1,XXXX
18:18:31.026: Awarded: 0 pts
18:18:31.110: Message received: team,robot,1,XXXX
18:18:31.111: Awarded: 0 pts
18:18:31.201: Message received: team,robot,1,XXXX
18:18:31.202: Awarded: 0 pts
18:18:31.281: Message received: team,robot,1,XXXX
18:18:31.282: Awarded: 0 pts
18:18:31.364: Message received: team,robot,1,XXXX
18:18:31.365: Awarded: 0 pts
18:18:31.456: Message received: team,robot,1,XXXX
18:18:31.457: Awarded: 0 pts
18:18:31.542: Message received: team,robot,1,XXXX
18:18:31.543: Awarded: 0 pts
18:18:31.638: Message received: team,robot,1,XXXX
18:18:31.639: Awarded: 0 pts
18:18:31.717: Message received: team,robot,1,XXXX
18:18:31.718: Awarded: 0 pts
18:18:31.796: Message received: team,robot,1,XXXX
18:18:31.797: Awarded: 0 pts
18:18:31.876: Message received: team,robot,1,XXXX
18:18:31.876: Awarded: 0 pts
18:18:31.960: Message received: team,robot,1,XXXX
18:18:31.964: Awarded: 0 pts
18:18:32.056: Message received: team,robot,1,XXXX
18:18:32.056: Awarded: 0 pts
18:18:32.135: Message received: team,robot,1,XXXX
18:18:32.136: Awarded: 0 pts
18:18:32.225: Message received: team,robot,1,XXXX
18:18:32.226: Awarded: 0 pts
18:18:32.309: Message received: team,robot,1,XXXX
18:18:32.310: Awarded: 0 pts
18:18:32.405: Message received: team,robot,1,XXXX
18:18:32.406: Awarded: 0 pts
18:18:32.488: Message received: team,robot,1,XXXX
18:18:32.488: Awarded: 0 pts
18:18:32.572: Message received: team,robot,1,XXXX
18:18:32.575: Awarded: 0 pts
18:18:32.653: Message received: team,robot,1,XXXX
18:18:32.658: Awarded: 0 pts
18:18:32.745: Message received: team,robot,1,XXXX
18:18:32.750: Awarded: 0 pts
18:18:32.836: Message received: team,robot,1,XXXX
18:18:32.837: Awarded: 0 pts
18:18:32.929: Message received: team,robot,1,XXXX
18:18:32.929: Awarded: 0 pts
18:18:33.012: Message received: team,robot,1,XXXX
18:18:33.013: Awarded: 0 pts
18:18:33.097: Message received: team,robot,1,XXXX
18:18:33.098: Awarded: 0 pts
18:18:33.188: Message received: team,robot,1,XXXX
18:18:33.189: Awarded: 0 pts
18:18:33.275: Message received: team,robot,1,XXXX
18:18:33.280: Awarded: 0 pts
18:18:33.364: Message received: team,robot,1,XXXX
18:18:33.365: Awarded: 0 pts
18:18:33.448: Message received: team,robot,1,XXXX
18:18:33.449: Awarded: 0 pts
18:18:33.541: Message received: team,robot,1,XXXX
18:18:33.542: Awarded: 0 pts
18:18:33.633: Message received: team,robot,1,XXXX
18:18:33.634: Awarded: 0 pts
18:18:33.720: Message received: team,robot,1,XXXX
18:18:33.721: Awarded: 0 pts
18:18:33.814: Message received: team,robot,1,XXXX
18:18:33.815: Awarded: 0 pts
18:18:33.903: Message received: team,robot,1,XXXX
18:18:33.919: Awarded: 0 pts
18:18:33.981: Message received: team,robot,1,XXXX
18:18:33.983: Awarded: 0 pts
18:18:34.083: Message received: team,robot,1,XXXX
18:18:34.084: Awarded: 0 pts
18:18:34.186: Message received: team,robot,1,XXXX
18:18:34.191: Awarded: 0 pts
18:18:34.275: Message received: team,robot,1,XXXX
18:18:34.276: Awarded: 0 pts
18:18:34.358: Message received: team,robot,1,XXXX
18:18:34.359: Awarded: 0 pts
18:18:34.450: Message received: team,robot,1,XXXX
18:18:34.451: Awarded: 0 pts
18:18:34.535: Message received: team,robot,1,XXXX
18:18:34.537: Awarded: 0 pts
18:18:34.628: Message received: team,robot,1,XXXX
18:18:34.629: Awarded: 0 pts
18:18:34.712: Message received: team,robot,1,XXXX
18:18:34.716: Awarded: 0 pts
18:18:34.803: Message received: team,robot,1,XXXX
18:18:34.804: Awarded: 0 pts
18:18:34.879: Message received: team,robot,1,XXXX
18:18:34.883: Awarded: 0 pts
18:18:34.978: Message received: team,robot,1,XXXX
18:18:34.979: Awarded: 0 pts
18:18:35.061: Message received: team,robot,1,XXXX
18:18:35.062: Awarded: 0 pts
18:18:35.155: Message received: team,robot,1,XXXX
18:18:35.157: Awarded: 0 pts
18:18:35.251: Message received: team,robot,1,XXXX
18:18:35.252: Awarded: 0 pts
18:18:35.335: Message received: team,robot,1,XXXX
18:18:35.335: Awarded: 0 pts
18:18:35.426: Message received: team,robot,1,XXXX
18:18:35.427: Awarded: 0 pts
18:18:35.510: Message received: team,robot,1,XXXX
18:18:35.511: Awarded: 0 pts
18:18:35.604: Message received: team,robot,1,XXXX
18:18:35.605: Awarded: 0 pts
18:18:35.688: Message received: team,robot,1,XXXX
18:18:35.689: Awarded: 0 pts
18:18:35.780: Message received: team,robot,1,XXXX
18:18:35.780: Awarded: 0 pts
18:18:35.864: Message received: team,robot,1,XXXX
18:18:35.864: Awarded: 0 pts
18:18:35.957: Message received: team,robot,1,XXXX
18:18:35.957: Awarded: 0 pts
18:18:36.050: Message received: team,robot,1,XXXX
18:18:36.051: Awarded: 0 pts
18:18:36.135: Message received: team,robot,1,XXXX
18:18:36.136: Awarded: 0 pts
18:18:36.219: Message received: team,robot,1,XXXX
18:18:36.223: Awarded: 0 pts
18:18:36.321: Message received: team,robot,1,XXXX
18:18:36.322: Awarded: 0 pts
18:18:36.405: Message received: team,robot,1,XXXX
18:18:36.406: Awarded: 0 pts
18:18:36.494: Message received: team,robot,1,XXXX
18:18:36.496: Awarded: 0 pts
18:18:36.579: Message received: team,robot,1,XXXX
18:18:36.579: Awarded: 0 pts
18:18:36.661: Message received: team,robot,1,XXXX
18:18:36.661: Awarded: 0 pts
18:18:36.743: Message received: team,robot,1,XXXX
18:18:36.744: Awarded: 0 pts
18:18:36.837: Message received: team,robot,1,XXXX
18:18:36.838: Awarded: 0 pts
18:18:36.929: Message received: team,robot,1,XXXX
18:18:36.930: Awarded: 0 pts
18:18:37.012: Message received: team,robot,1,XXXX
18:18:37.013: Awarded: 0 pts
18:18:37.105: Message received: team,robot,1,XXXX
18:18:37.106: Awarded: 0 pts
18:18:37.180: Message received: team,robot,1,XXXX
18:18:37.181: Awarded: 0 pts
18:18:37.275: Message received: team,robot,1,XXXX
18:18:37.279: Awarded: 0 pts
18:18:37.362: Message received: team,robot,1,XXXX
18:18:37.363: Awarded: 0 pts
18:18:37.441: Message received: team,robot,1,XXXX
18:18:37.443: Awarded: 0 pts
18:18:37.538: Message received: team,robot,1,XXXX
18:18:37.539: Awarded: 0 pts
18:18:37.632: Message received: team,robot,1,XXXX
18:18:37.633: Awarded: 0 pts
18:18:37.719: Message received: team,robot,1,XXXX
18:18:37.720: Awarded: 0 pts
18:18:37.810: Message received: team,robot,1,XXXX
18:18:37.811: Awarded: 0 pts
18:18:37.896: Message received: team,robot,1,XXXX
18:18:37.897: Awarded: 0 pts
18:18:37.951: Message received: team,robot,-1,XXXX
